"Campaign name",Day,"Ad Set Name","Attribution setting","Result type",Results,Reach,Impressions,"Amount spent (USD)","Link clicks",Frequency,"Reporting starts","Reporting ends"
"C | Medwriter - 2024 April",2025-07-30,,"7-day click or 1-day view",,,810,999,52.43,10,1.23333333,2025-07-30,2025-07-30
"C | Medwriter - 2025 July 25 - Stork",2025-07-30,,"7-day click or 1-day view",,,1000,1085,30.2,5,1.085,2025-07-30,2025-07-30
"C | Medwriter - 2025 July 25 - Set 14",2025-07-30,,"7-day click or 1-day view",,,746,861,30.79,11,1.1541555,2025-07-30,2025-07-30
"A | Medwriter - 2025 May 25",2025-07-30,,"7-day click or 1-day view",Reach,8140,8140,8387,2.2,,1.03034398,2025-07-30,2025-07-30
"RC | Medwriter - June 25",2025-07-29,,"7-day click or 1-day view",,,148,160,22.06,1,1.08108108,2025-07-29,2025-07-29
"C | Medwriter - 2024 April",2025-07-29,,"7-day click or 1-day view",,,948,1150,48.56,10,1.21308017,2025-07-29,2025-07-29
"A | Medwriter - 2025 May 25",2025-07-29,,"7-day click or 1-day view",Reach,4011,4011,4011,3.29,,1,2025-07-29,2025-07-29
"C | Medwriter - 2025 July 25 - Set 14",2025-07-29,,"7-day click or 1-day view",presignup_demo_booked,2,832,932,32.27,4,1.12019231,2025-07-29,2025-07-29
"T | Medwriter - 2025 May 25",2025-07-29,,"7-day click or 1-day view","Link clicks",19,2646,2646,5.25,19,1,2025-07-29,2025-07-29
"C | Medwriter - 2025 July 25 - Stork",2025-07-29,,"7-day click or 1-day view",,,849,909,29.83,8,1.07067138,2025-07-29,2025-07-29
"C | Medwriter - 2025 July 25 - Set 14",2025-07-28,,"7-day click or 1-day view",presignup_demo_booked,1,1018,1219,30.65,11,1.19744597,2025-07-28,2025-07-28
"C | Medwriter - 2025 July 25 - Stork",2025-07-28,,"7-day click or 1-day view",,,921,1046,31.27,5,1.13572204,2025-07-28,2025-07-28
"RC | Medwriter - June 25",2025-07-28,,"7-day click or 1-day view",,,150,181,24.85,2,1.20666667,2025-07-28,2025-07-28
"T | Medwriter - 2025 May 25",2025-07-28,,"7-day click or 1-day view","Link clicks",3,589,590,2.92,3,1.00169779,2025-07-28,2025-07-28
"A | Medwriter - 2025 May 25",2025-07-28,,"7-day click or 1-day view",Reach,4695,4695,4695,5.08,,1,2025-07-28,2025-07-28
"C | Medwriter - 2024 April",2025-07-28,,"7-day click or 1-day view",,,860,1016,57.46,14,1.18139535,2025-07-28,2025-07-28
"C | Medwriter - 2025 July 25 - Set 14",2025-07-27,,"7-day click or 1-day view",presignup_demo_booked,1,884,1018,35.1,9,1.15158371,2025-07-27,2025-07-27
